Año,Trimestre,Base Monetaria ,M1,M2,Inflacion,tasa_interes,Tipo_cambio
2015,T3,1075444678.6666667,3014514693.6633334,6545989027.920001,0.24666666666666667,0.24666666666666667,16.250783333333338
2015,T4,1152070032.3333333,3096660543.623333,6562740234.8,0.19999999999999998,0.19999999999999998,16.427957142857146
2016,T1,1202918513.3333333,3305776526.9533334,6779023471.709999,0.30333333333333334,0.30333333333333334,18.278475438596487
2016,T2,1220474321.6666667,3333862929.47,6894791170.276668,0.22666666666666666,0.22666666666666666,18.297490909090904
2016,T3,1250345399.3333333,3455500451.19,7134923921.110001,0.27999999999999997,0.27999999999999997,18.747953030303034
2016,T4,1331478879.6666667,3550888867.063333,7294315224.046666,0.31666666666666665,0.31666666666666665,19.40729365079365
2017,T1,1373574621.6666667,3825909234.093333,7618244576.236667,0.6366666666666666,0.6366666666666666,19.7814129032258
2017,T2,1375116830.3333333,3778686313.2000003,7552153650.483334,0.3433333333333333,0.3433333333333333,18.612035483870972
2017,T3,1360820586.6666667,3801836213.9466667,7704881753.316667,0.26666666666666666,0.26666666666666666,18.23018615384615
2017,T4,1442093075.3333333,3924907015.806667,7947713803.536667,0.33666666666666667,0.33666666666666667,19.03545483870968
2018,T1,1494683910.6666667,4138554515.603333,8297874844.403333,0.3666666666666667,0.3666666666666667,18.781862068965516
2018,T2,1513500909.3333333,4145263358.623333,8391184909.123333,0.21333333333333335,0.21333333333333335,19.469192307692303
2018,T3,1519346341.3333333,4219004205.48,8502872395.079999,0.2866666666666667,0.2866666666666667,19.02895692307692
2018,T4,1589785984.6666667,4238048107.23,8586467996.266666,0.3433333333333333,0.3433333333333333,19.63216031746032
2019,T1,1581281922.3333333,4374348864.490001,8754244716.47,0.3233333333333333,0.3233333333333333,19.247254098360656
2019,T2,1573601055.6666667,4314795309.253333,8834961971.779999,0.30666666666666664,0.30666666666666664,19.198347619047613
2019,T3,1562234279.0,4351108591.546666,8981530419.573334,0.25333333333333335,0.25333333333333335,19.391890476190476
2019,T4,1642256293.3333333,4393462027.759999,9052353428.863333,0.2933333333333333,0.2933333333333333,19.1927734375
2020,T1,1712852477.6666667,4619617877.503334,9322293752.25,0.32666666666666666,0.32666666666666666,20.818174193548398
2020,T2,1833234725.6666667,5047059344.116666,9983913281.33,0.34333333333333327,0.34333333333333327,22.582584126984123
2020,T3,1909298372.3333333,5221241346.763333,10153975012.436666,0.3466666666666667,0.3466666666666667,21.801972307692306
